Country,Region,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Congo (Kinshasa),Sub-Saharan Africa,120,125,126,132,127,131
Nepal,Southern Asia,121,107,99,101,100,92
Ethiopia,Sub-Saharan Africa,122,115,119,127,134,136
Sierra Leone,Sub-Saharan Africa,123,111,106,113,129,139
Mauritania,Sub-Saharan Africa,124,130,123,126,122,129
Kenya,Sub-Saharan Africa,125,122,112,124,121,121
Armenia,Central and Eastern Europe,127,121,121,129,116,116
Botswana,Sub-Saharan Africa,128,137,142,146,148,147
Myanmar,Southeastern Asia,129,119,114,130,131,133
Georgia,Central and Eastern Europe,130,126,125,128,119,117
Malawi,Sub-Saharan Africa,131,132,136,147,150,145
Sri Lanka,Southern Asia,132,117,120,116,130,130
Cameroon,Sub-Saharan Africa,133,114,107,99,96,98
Bulgaria,Central and Eastern Europe,134,129,105,100,97,96
Egypt,Middle East and Northern Africa,135,120,104,122,137,138
Yemen,Middle East and Northern Africa,136,147,146,152,151,146
Mali,Sub-Saharan Africa,138,135,127,118,128,114
Congo (Brazzaville),Sub-Saharan Africa,139,127,124,114,103,88
Uganda,Sub-Saharan Africa,141,145,133,135,136,126
Senegal,Sub-Saharan Africa,142,128,115,109,111,101
Gabon,Sub-Saharan Africa,143,134,118,103,104,108
Niger,Sub-Saharan Africa,144,142,135,134,114,103
Cambodia,Southeastern Asia,145,140,129,120,109,106
Tanzania,Sub-Saharan Africa,146,149,153,153,153,148
Madagascar,Sub-Saharan Africa,147,148,144,143,143,137
Chad,Sub-Saharan Africa,149,144,137,131,132,127
Guinea,Sub-Saharan Africa,150,151,149,140,118,102
Ivory Coast,Sub-Saharan Africa,151,139,128,107,99,85
Burkina Faso,Sub-Saharan Africa,152,145,134,121,115,112
Afghanistan,Southern Asia,153,154,141,145,154,153
Rwanda,Sub-Saharan Africa,154,152,151,151,152,150
Benin,Sub-Saharan Africa,155,153,143,136,102,86
Burundi,Sub-Saharan Africa,157,157,154,156,145,140
Togo,Sub-Saharan Africa,158,155,150,139,139,135
